d (kA),d with offset,V_s (mV),V_bias (mV),Current [A] V_bias/10kOhm,Resistance [Ohms] V_s/Current,Resistivity [S/m] R*(d*width)/length,Conductivity [1/Resistivity],input frequency,R,length (cm),width (cm),current (A),NOTES
0.008,0.012,-0.000053,0.436,4.36E-08,-1.22E+00,-4.61E-10,-2.17E+09,13.49 Hz,10000,0.95,0.3,110,started at -0.004 kA thickness
0.012,0.016,-0.000053,0.438,4.38E-08,-1.21E+00,-6.11E-10,-1.64E+09,,,,,,
0.015,0.019,-0.053,0.431,4.31E-08,-1.23E+03,-7.38E-07,-1.36E+06,,,,,,
0.019,0.023,-0.053,0.43,4.30E-08,-1.23E+03,-8.95E-07,-1.12E+06,,,,,,
0.024,0.028,-0.02,0.427,4.27E-08,-4.68E+02,-4.14E-07,-2.41E+06,,,,,,
0.027,0.031,-0.037,0.424,4.24E-08,-8.73E+02,-8.54E-07,-1.17E+06,,,,,,
0.029,0.033,-0.047,0.425,4.25E-08,-1.11E+03,-1.15E-06,-8.68E+05,,,,,,
0.033,0.037,-0.05,0.429,4.29E-08,-1.17E+03,-1.36E-06,-7.34E+05,,,,,,
0.037,0.041,-0.051,0.43,4.30E-08,-1.19E+03,-1.54E-06,-6.51E+05,,,,,,
0.041,0.045,-0.05,0.429,4.29E-08,-1.17E+03,-1.66E-06,-6.04E+05,,,,,,
0.046,0.05,-0.047,0.429,4.29E-08,-1.10E+03,-1.73E-06,-5.78E+05,,,,,,
0.05,0.054,-0.05,0.432,4.32E-08,-1.16E+03,-1.97E-06,-5.07E+05,,,,,,
0.054,0.058,-0.047,0.437,4.37E-08,-1.08E+03,-1.97E-06,-5.08E+05,,,,,,
0.058,0.062,-0.041,0.438,4.38E-08,-9.36E+02,-1.83E-06,-5.46E+05,,,,,,
0.062,0.066,-0.062,0.436,4.36E-08,-1.42E+03,-2.96E-06,-3.37E+05,,,,,,
0.067,0.071,-0.043,0.434,4.34E-08,-9.91E+02,-2.22E-06,-4.50E+05,,,,,,
0.071,0.075,-0.047,0.435,4.35E-08,-1.08E+03,-2.56E-06,-3.91E+05,,,,,,
0.075,0.079,-0.05,0.435,4.35E-08,-1.15E+03,-2.87E-06,-3.49E+05,,,,,,
0.079,0.083,-0.56,0.432,4.32E-08,-1.30E+04,-3.40E-05,-2.94E+04,,,,,,
0.083,0.087,-0.046,0.432,4.32E-08,-1.06E+03,-2.93E-06,-3.42E+05,,,,,,
0.088,0.092,-0.047,0.43,4.30E-08,-1.09E+03,-3.18E-06,-3.15E+05,,,,,,
0.092,0.096,-0.047,0.431,4.31E-08,-1.09E+03,-3.31E-06,-3.02E+05,,,,,,
0.096,0.1,-0.045,0.433,4.33E-08,-1.04E+03,-3.28E-06,-3.05E+05,,,,,,
0.1,0.104,-0.047,0.433,4.33E-08,-1.09E+03,-3.56E-06,-2.81E+05,,,,,,
0.105,0.109,-0.05,0.436,4.36E-08,-1.15E+03,-3.95E-06,-2.53E+05,,,,,,
0.109,0.113,-0.09,0.437,4.37E-08,-2.06E+03,-7.35E-06,-1.36E+05,,,,,,
0.114,0.118,-0.03,0.437,4.37E-08,-6.86E+02,-2.56E-06,-3.91E+05,,,,,,
0.118,0.122,0.03,0.438,4.38E-08,6.85E+02,2.64E-06,3.79E+05,,,,,,
0.123,0.127,0.74,0.464,4.64E-08,1.59E+04,6.40E-05,1.56E+04,,,,,,
0.127,0.131,0.19,0.567,5.67E-08,3.35E+03,1.39E-05,7.21E+04,,,,,,
0.131,0.135,4.31,1.436,1.44E-07,3.00E+04,1.28E-04,7.82E+03,,,,,,
0.135,0.139,25.3,33.944,3.39E-06,7.45E+03,3.27E-05,3.06E+04,,,,,,
0.14,0.144,20.1,40.743,4.07E-06,4.93E+03,2.24E-05,4.46E+04,,,,,,
0.144,0.148,16.9,44.862,4.49E-06,3.77E+03,1.76E-05,5.68E+04,,,,,,
0.148,0.152,14.25,48.01,4.80E-06,2.97E+03,1.42E-05,7.02E+04,,,,,,
0.153,0.157,13.63,53.224,5.32E-06,2.56E+03,1.27E-05,7.88E+04,,,,,,
0.157,0.161,31.88,94.273,9.43E-06,3.38E+03,1.72E-05,5.82E+04,,,,,,
0.162,0.166,17.37,81.956,8.20E-06,2.12E+03,1.11E-05,9.00E+04,,,,,,
0.166,0.17,20.95,107.333,1.07E-05,1.95E+03,1.05E-05,9.54E+04,,,,,,
0.171,0.175,11.96,64.425,6.44E-06,1.86E+03,1.03E-05,9.75E+04,,,,,,
0.175,0.179,11.41,65.715,6.57E-06,1.74E+03,9.81E-06,1.02E+05,,,,,,
0.179,0.183,10.96,66.498,6.65E-06,1.65E+03,9.52E-06,1.05E+05,,,,,,
0.184,0.188,10.72,69.635,6.96E-06,1.54E+03,9.14E-06,1.09E+05,,,,,,
0.189,0.193,7.6,59.936,5.99E-06,1.27E+03,7.73E-06,1.29E+05,,,,,,
0.193,0.197,6.89,49.749,4.97E-06,1.38E+03,8.62E-06,1.16E+05,,,,,,
0.198,0.202,5.21,37.379,3.74E-06,1.39E+03,8.89E-06,1.12E+05,,,,,,
0.202,0.206,4.75,36.084,3.61E-06,1.32E+03,8.56E-06,1.17E+05,,,,,,
0.207,0.211,3.92,32.26,3.23E-06,1.22E+03,8.10E-06,1.24E+05,,,,,,
0.212,0.216,3.58,30.366,3.04E-06,1.18E+03,8.04E-06,1.24E+05,,,,,,
0.216,0.22,3,26.919,2.69E-06,1.11E+03,7.74E-06,1.29E+05,,,,,,
0.221,0.225,3.08,28.524,2.85E-06,1.08E+03,7.67E-06,1.30E+05,,,,,,
0.225,0.229,3.1,30.222,3.02E-06,1.03E+03,7.42E-06,1.35E+05,,,,,,
0.23,0.234,3.34,32.058,3.21E-06,1.04E+03,7.70E-06,1.30E+05,,,,,,
0.235,0.239,3.8,27.439,2.74E-06,1.38E+03,1.05E-05,9.57E+04,,,,,,
0.24,0.244,1.49,16.391,1.64E-06,9.09E+02,7.00E-06,1.43E+05,,,,,,
0.244,0.248,1.47,16.805,1.68E-06,8.75E+02,6.85E-06,1.46E+05,,,,,,
0.249,0.253,1.4,16.276,1.63E-06,8.60E+02,6.87E-06,1.46E+05,,,,,,
0.253,0.257,1.43,17.09,1.71E-06,8.37E+02,6.79E-06,1.47E+05,,,,,,
0.258,0.262,1.13,14.121,1.41E-06,8.00E+02,6.62E-06,1.51E+05,,,,,,
0.268,0.272,1.23,15.765,1.58E-06,7.80E+02,6.70E-06,1.49E+05,,,,,,
0.267,0.271,1.24,16.16,1.62E-06,7.67E+02,6.57E-06,1.52E+05,,,,,,
0.272,0.276,1.27,17.155,1.72E-06,7.40E+02,6.45E-06,1.55E+05,,,,,,
0.277,0.281,1.29,17.771,1.78E-06,7.26E+02,6.44E-06,1.55E+05,,,,,,
0.282,0.286,1.38,19.661,1.97E-06,7.02E+02,6.34E-06,1.58E+05,,,,,,
0.286,0.29,1.42,20.23,2.02E-06,7.02E+02,6.43E-06,1.56E+05,,,,,,
0.291,0.295,1.33,19.223,1.92E-06,6.92E+02,6.45E-06,1.55E+05,,,,,,
0.295,0.299,1.13,17.209,1.72E-06,6.57E+02,6.20E-06,1.61E+05,,,,,,
0.3,0.304,1.33,20.818,2.08E-06,6.39E+02,6.13E-06,1.63E+05,,,,,,
0.305,0.309,1.43,22.461,2.25E-06,6.37E+02,6.21E-06,1.61E+05,,,,,,
0.31,0.314,1.48,23.665,2.37E-06,6.25E+02,6.20E-06,1.61E+05,,,,,,
0.314,0.318,1.48,24.176,2.42E-06,6.12E+02,6.15E-06,1.63E+05,,,,,,
0.319,0.323,1.55,25.852,2.59E-06,6.00E+02,6.12E-06,1.64E+05,,,,,,
0.324,0.328,1.57,26.568,2.66E-06,5.91E+02,6.12E-06,1.63E+05,,,,,,
0.328,0.332,1.55,26.77,2.68E-06,5.79E+02,6.07E-06,1.65E+05,,,,,,
0.333,0.337,1.53,26.93,2.69E-06,5.68E+02,6.05E-06,1.65E+05,,,,,,
0.337,0.341,1.51,27.058,2.71E-06,5.58E+02,6.01E-06,1.66E+05,,,,,,
0.342,0.346,1.49,27.164,2.72E-06,5.49E+02,5.99E-06,1.67E+05,,,,,,
0.347,0.351,1.47,27.27,2.73E-06,5.39E+02,5.97E-06,1.67E+05,,,,,,
0.351,0.355,1.45,27.354,2.74E-06,5.30E+02,5.94E-06,1.68E+05,,,,,,
0.356,0.36,1.43,27.393,2.74E-06,5.22E+02,5.93E-06,1.69E+05,,,,,,
0.36,0.364,1.4,27.403,2.74E-06,5.11E+02,5.87E-06,1.70E+05,,,,,,
0.365,0.369,1.38,27.425,2.74E-06,5.03E+02,5.86E-06,1.71E+05,,,,,,
0.369,0.373,1.36,27.443,2.74E-06,4.96E+02,5.84E-06,1.71E+05,,,,,,
0.374,0.378,1.34,27.457,2.75E-06,4.88E+02,5.83E-06,1.72E+05,,,,,,
0.379,0.383,1.302,27.395,2.74E-06,4.75E+02,5.75E-06,1.74E+05,,,,,,
0.383,0.387,1.283,27.423,2.74E-06,4.68E+02,5.72E-06,1.75E+05,,,,,,
0.388,0.392,1.296,28.092,2.81E-06,4.61E+02,5.71E-06,1.75E+05,,,,,,
0.393,0.397,1.27,27.92,2.79E-06,4.55E+02,5.70E-06,1.75E+05,,,,,,
0.397,0.401,1.247,27.9,2.79E-06,4.47E+02,5.66E-06,1.77E+05,,,,,,
0.401,0.405,1.227,27.848,2.78E-06,4.41E+02,5.64E-06,1.77E+05,,,,,,
0.406,0.41,1.21,27.85,2.79E-06,4.34E+02,5.63E-06,1.78E+05,,,,,,
0.411,0.415,1.193,27.84,2.78E-06,4.29E+02,5.62E-06,1.78E+05,,,,,,
0.415,0.419,1.175,27.785,2.78E-06,4.23E+02,5.60E-06,1.79E+05,,,,,,
0.419,0.423,1.157,27.742,2.77E-06,4.17E+02,5.57E-06,1.80E+05,,,,,,
0.421,0.425,1.15,27.751,2.78E-06,4.14E+02,5.56E-06,1.80E+05,,,,,,
0.423,0.427,1.141,27.726,2.77E-06,4.12E+02,5.55E-06,1.80E+05,,,,,,
0.425,0.429,1.135,27.208,2.72E-06,4.17E+02,5.65E-06,1.77E+05,,,,,,
0.427,0.431,1.127,27.696,2.77E-06,4.07E+02,5.54E-06,1.81E+05,,,,,,
0.429,0.433,1.121,27.673,2.77E-06,4.05E+02,5.54E-06,1.81E+05,,,,,,
0.431,0.435,1.112,27.681,2.77E-06,4.02E+02,5.52E-06,1.81E+05,,,,,,
0.434,0.438,1.107,27.674,2.77E-06,4.00E+02,5.53E-06,1.81E+05,,,,,,
0.436,0.44,1.1,27.665,2.77E-06,3.98E+02,5.52E-06,1.81E+05,,,,,,
0.438,0.442,1.093,27.679,2.77E-06,3.95E+02,5.51E-06,1.81E+05,,,,,,
0.44,0.444,1.088,27.692,2.77E-06,3.93E+02,5.51E-06,1.82E+05,,,,,,
0.442,0.446,1.081,27.682,2.77E-06,3.91E+02,5.50E-06,1.82E+05,,,,,,
0.444,0.448,1.075,27.669,2.77E-06,3.89E+02,5.50E-06,1.82E+05,,,,,,
0.446,0.45,1.07,27.668,2.77E-06,3.87E+02,5.50E-06,1.82E+05,,,,,,
0.448,0.452,1.062,27.664,2.77E-06,3.84E+02,5.48E-06,1.82E+05,,,,,,
0.45,0.454,1.057,27.684,2.77E-06,3.82E+02,5.47E-06,1.83E+05,,,,,,
0.452,0.456,1.052,27.678,2.77E-06,3.80E+02,5.47E-06,1.83E+05,,,,,,
0.454,0.458,1.046,27.671,2.77E-06,3.78E+02,5.47E-06,1.83E+05,,,,,,
0.456,0.46,1.038,27.667,2.77E-06,3.75E+02,5.45E-06,1.83E+05,,,,,,
0.458,0.462,1.033,27.651,2.77E-06,3.74E+02,5.45E-06,1.83E+05,,,,,,
0.46,0.464,1.027,27.649,2.76E-06,3.71E+02,5.44E-06,1.84E+05,,,,,,
0.462,0.466,1.021,27.664,2.77E-06,3.69E+02,5.43E-06,1.84E+05,,,,,,
0.464,0.468,1.015,27.634,2.76E-06,3.67E+02,5.43E-06,1.84E+05,,,,,,
0.466,0.47,1.01,27.645,2.76E-06,3.65E+02,5.42E-06,1.84E+05,,,,,,
0.468,0.472,1.003,27.63,2.76E-06,3.63E+02,5.41E-06,1.85E+05,,,,,,
0.471,0.475,0.997,27.619,2.76E-06,3.61E+02,5.41E-06,1.85E+05,,,,,,
0.473,0.477,0.993,27.618,2.76E-06,3.60E+02,5.42E-06,1.85E+05,,,,,,
0.475,0.479,0.988,27.662,2.77E-06,3.57E+02,5.40E-06,1.85E+05,,,,,,
0.477,0.481,0.983,27.627,2.76E-06,3.56E+02,5.40E-06,1.85E+05,,,,,,
0.479,0.483,0.977,27.631,2.76E-06,3.54E+02,5.39E-06,1.85E+05,,,,,,
0.481,0.485,0.972,27.624,2.76E-06,3.52E+02,5.39E-06,1.86E+05,,,,,,
0.483,0.487,0.968,27.62,2.76E-06,3.50E+02,5.39E-06,1.86E+05,,,,,,
0.485,0.489,0.962,27.617,2.76E-06,3.48E+02,5.38E-06,1.86E+05,,,,,,
0.487,0.491,0.958,27.621,2.76E-06,3.47E+02,5.38E-06,1.86E+05,,,,,,
0.489,0.493,0.952,27.619,2.76E-06,3.45E+02,5.37E-06,1.86E+05,,,,,,
0.491,0.495,0.95,27.634,2.76E-06,3.44E+02,5.37E-06,1.86E+05,,,,,,
0.493,0.497,0.949,27.609,2.76E-06,3.44E+02,5.39E-06,1.85E+05,,,,,,
0.495,0.499,0.938,27.6,2.76E-06,3.40E+02,5.36E-06,1.87E+05,,,,,,
0.497,0.501,0.933,27.592,2.76E-06,3.38E+02,5.35E-06,1.87E+05,,,,,,
0.499,0.503,0.928,27.617,2.76E-06,3.36E+02,5.34E-06,1.87E+05,,,,,,
0.501,0.505,0.925,27.623,2.76E-06,3.35E+02,5.34E-06,1.87E+05,,,,,,
0.504,0.508,0.92,27.627,2.76E-06,3.33E+02,5.34E-06,1.87E+05,,,,,,
0.506,0.51,0.915,27.621,2.76E-06,3.31E+02,5.34E-06,1.87E+05,,,,,,
0.508,0.512,0.91,27.608,2.76E-06,3.30E+02,5.33E-06,1.88E+05,,,,,,
0.51,0.514,0.906,27.607,2.76E-06,3.28E+02,5.33E-06,1.88E+05,,,,,,
0.512,0.516,0.901,27.597,2.76E-06,3.26E+02,5.32E-06,1.88E+05,,,,,,
0.514,0.518,0.896,27.607,2.76E-06,3.25E+02,5.31E-06,1.88E+05,,,,,,
0.516,0.52,0.893,27.601,2.76E-06,3.24E+02,5.31E-06,1.88E+05,,,,,,
0.518,0.522,0.888,27.611,2.76E-06,3.22E+02,5.30E-06,1.89E+05,,,,,,
